Status,Source,Target,StartTime,StopTime,Duration,Count,Size
DONE,172.32.6.30:/MD-BB-PROD-2,172.28.255.4:/a17uepbb02am01,03/09/2019 15:25:03,03/09/2019 15:55:33,00:30,491,2372
DONE,172.32.6.30:/MD-BB-PROD-1,172.28.255.4:/a17uepbb01eu01,03/09/2019 15:24:03,03/09/2019 22:06:35,06:43,2336,355
DONE,172.32.6.30:/MD-BB-PROD-4,172.28.255.4:/a17uepbb04ln01,03/09/2019 15:22:02,03/09/2019 15:48:19,00:26,262,612
DONE,172.32.6.30:/MD-BB-PROD-3-CMA,172.28.255.4:/a17uepbb03wa03,03/09/2019 15:10:01,03/09/2019 15:11:23,00:01,4,0
DONE,172.32.6.30:/MD-BB-PROD-3-LOGS,172.28.255.4:/a17uepbb03wa02,03/09/2019 15:08:00,03/09/2019 15:09:24,00:01,3,0
DONE,172.32.6.30:/MD-BB-PROD3,172.28.255.4:/a17uepbb03wa01,02/09/2019 23:15:07,03/09/2019 05:21:27,06:06,457761,15030
DONE,172.32.6.30:/MD-BB-PROD-2,172.28.255.4:/a17uepbb02am01,02/09/2019 15:24:56,02/09/2019 15:53:56,00:29,378,338
DONE,172.32.6.30:/MD-BB-PROD-1,172.28.255.4:/a17uepbb01eu01,02/09/2019 15:23:56,02/09/2019 22:11:37,06:48,3048,727
DONE,172.32.6.30:/MD-BB-PROD-4,172.28.255.4:/a17uepbb04ln01,02/09/2019 15:21:57,02/09/2019 15:46:10,00:24,457,914
DONE,172.32.6.30:/MD-BB-PROD-3-CMA,172.28.255.4:/a17uepbb03wa03,02/09/2019 15:09:57,02/09/2019 15:11:24,00:01,4,0
DONE,172.32.6.30:/MD-BB-PROD-3-LOGS,172.28.255.4:/a17uepbb03wa02,02/09/2019 15:07:56,02/09/2019 15:09:32,00:02,3,0
DONE,172.32.6.30:/MD-BB-PROD3,172.28.255.4:/a17uepbb03wa01,01/09/2019 23:14:33,02/09/2019 07:12:44,07:58,453755,14135
DONE,172.32.6.30:/MD-BB-PROD-2,172.28.255.4:/a17uepbb02am01,01/09/2019 15:24:36,01/09/2019 23:23:34,07:59,315,16892
DONE,172.32.6.30:/MD-BB-PROD-1,172.28.255.4:/a17uepbb01eu01,01/09/2019 15:23:36,02/09/2019 10:26:09,19:03,3089,6700
DONE,172.32.6.30:/MD-BB-PROD-4,172.28.255.4:/a17uepbb04ln01,01/09/2019 15:22:37,01/09/2019 23:09:44,07:47,246,537
DONE,172.32.6.30:/MD-BB-PROD-3-CMA,172.28.255.4:/a17uepbb03wa03,01/09/2019 15:09:35,01/09/2019 15:55:51,00:46,4,0
DONE,172.32.6.30:/MD-BB-PROD-3-LOGS,172.28.255.4:/a17uepbb03wa02,01/09/2019 15:08:35,01/09/2019 22:57:53,07:49,22,247311
